Experiment	DPI	Individual	Storage.Box	Gene/Control	Treatment	Concentration.ug/ul	Stage.Injected	Stage.Scored	Gula	Eyes	Labium	Beak	Stylets	Antenae	Scapes	Pedicels	A1	A2	A3	Collar	Pronotum	D.T1.Posterior.margin.central	D.T1.Posterior.margin.corners	Scutellar.lobe	Mesonotum	Metanotum	T1.LL.leg	Pl.lobes1	Pn.Pl.Junction	Pos.Pl1	T1.LL.supracoxal.lobes	T1.LL.posterior.pleural.margin	T1 LL pronotum pleural junction	T1 RL leg	T1 RL supracoxal lobes	T1 RL posterior pleural margin	T1 RL pronotum pleural junction	T2 LL leg	Pl.lobes2	Pos.Pl2	T2.LL.supracoxal.lobes	T2.LL.posterior.pleural.margin	T2.L.wing.base	T2.RL.leg	T2.RL.supracoxal.lobes	T2.RL.posterior.pleural.margin	T2.R.wing.base	T3.LL.leg	Sc.Gland	Pos.Pl.3	T3.LL.post.pleural.margin	T3.LL.scent.gland	T3.LL.wing.base	T3.RL.leg	T3.RL.post.pleural.margin	T3.RL.scent.gland	T3.RL.wing.base	Metasternum	V.T1.sternum	V.T2.sternum	V.T3.sternum	Abd.Ventral	Notch.F	Genitals	Sex	Abd.Dorsal	Anal.tube	L.FW.hemelytra	L.FW.membranous	Wing.hinges	Wing.sclerites	T2.FW.L.Hinge.Area	T2.FW.L.Axillary.sclerites	L.HW	T3.HW.L.Wing.blade	T3.HW.L.Hinge.Area	T3.HW.L.Axillary.sclerites	R.FW.hemelytra	R.FW.membranous	T2.FW.R.Hinge.Area	T2.FW.R.Axillary.sclerites	R.HW	T3.HW.R.Wing.blade	T3.HW.R.Hinge.Area	T3.HW.R.Axillary.sclerites	Old.ID	Notes	Severity	Abnormal	How.Informative	Wing.Phenotypic	Wing.Bin	Pronotum.Phenotype	Pronotum.Bin	Pleural.Margins	Pleural.Margin.Bin	Supracoxal.lobes	Supracoxal.lobes.Bin
75	NS	E	NA	ap	APT-1	4.5	L5	adult	NS	NS	NS	NS	NS	NA	NS	NS	NS	NS	NS	1	0	NA	NA	0	NS	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	0	0	F	0	0	1	1	NS	NS	NA	NA	0	NA	NA	NA	1	1	NA	NA	0	NA	NA	NA	75.E	hw are thin too	5	1	22	4	1	1	TRUE	0	TRUE	0	TRUE
75	NS	F	NA	ap	APT-1	4.5	L5	adult	NS	NS	NS	NS	NS	NA	NS	NS	NS	NS	NS	1	0	NA	NA	0	NS	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	0	0	F	0	0	1	1	NS	NS	NA	NA	0	NA	NA	NA	1	1	NA	NA	0	NA	NA	NA	75.F	mild	5	1	22	4	1	1	TRUE	0	TRUE	0	TRUE
75	NS	G	NA	ap	APT-1	4.5	L5	adult	NS	NS	NS	NS	NS	NA	NS	NS	NS	NS	NS	0	0	NA	NA	0	NS	0	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	0	0	F	0	0	1	1	NS	NS	NA	NA	0	NA	NA	NA	1	1	NA	NA	0	NA	NA	NA	75.G	very thin fw	5	1	22	4	1	0	TRUE	0	TRUE	0	TRUE
75	NS	H	NA	ap	APT-1	4.5	L5	adult	NS	NS	NS	NS	NS	NA	NS	NS	NS	NS	NS	0	0	NA	NA	0	NS	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NS	NA	NA	NA	0	0	0	F	0	0	0	0	NS	NS	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	75.H	NOT phenotypic	0	0	22	0	0	0	TRUE	0	TRUE	0	TRUE
235	17	A	JK.B6.F9	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	NA	0	m	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	NA	NA	8	1	30	5	1	1	TRUE	1	TRUE	0	TRUE
235	17	B	JK.B6.G1	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	f	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	NA	NA	11	1	31	6	1	1	TRUE	2	TRUE	0	TRUE
235	17	C	JK.B6.G2	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	NS	NA	NA	NA	NA	NA	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	f	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	0	NA	NA	11	1	30	6	1	1	TRUE	2	TRUE	0	TRUE
235	17	D	JK.B6.G3	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	f	0	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	NA	NA	10	1	31	5	1	1	TRUE	2	TRUE	0	TRUE
235	17	E	JK.B6.G4	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	NA	0	m	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	0	NA	NA	11	1	30	6	1	1	TRUE	2	TRUE	0	TRUE
235	17	F	JK.B6.G5	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	NA	0	m	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	NA	NA	12	1	30	7	1	1	TRUE	2	TRUE	0	TRUE
235	17	G	JK.B6.G9	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	10	1	28	8	1	1	TRUE	0	TRUE	0	TRUE
235	17	H	JK.B6.H1	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	f	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	11	1	29	8	1	1	TRUE	1	TRUE	0	TRUE
235	18	A	JK.B6.H2	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	m	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	NA	NA	9	1	28	6	1	1	TRUE	1	TRUE	0	TRUE
235	18	B	JK.B6.H3	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	NA	0	m	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	11	1	28	8	1	1	TRUE	1	TRUE	0	TRUE
235	18	C	JK.B6.H4	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	f	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	NA	NA	9	1	29	6	1	1	TRUE	1	TRUE	0	TRUE
235	19	A	JK.B6.H5	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	f	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	NA	NA	9	1	29	6	1	1	TRUE	1	TRUE	0	TRUE
235	19	B	JK.B6.H6	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	NA	0	m	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	11	1	28	8	1	1	TRUE	1	TRUE	0	TRUE
235	19	C	JK.B6.H7	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	f	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	11	1	29	8	1	1	TRUE	1	TRUE	0	TRUE
235	19	D	JK.B6.H8	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	f	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	0	NA	NA	9	1	29	6	1	1	TRUE	1	TRUE	0	TRUE
235	20	A	JK.B6.I.3	ap	APT-1	1	L4/L5	adult	NS	0	0	0	0	0	NA	NA	NA	NA	NA	0	1	1	1	1	NS	NS	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	f	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	13	1	29	8	1	1	TRUE	2	TRUE	0	TRUE
